#,song_title,artist,page_title,views
92,Lluna per nosaltres,Auxili,"Lluna per nosaltres, de l'àlbum ""Lluna per nosaltres"" (Auxili) - Viasona",356
93,AL MEU PAÍS,Naina,"AL MEU PAÍS, de l'àlbum ""Vives o mortes"" (Naina) - Viasona",353
94,Mediterrània,La Fúmiga,"Mediterrània, de l'àlbum ""Mediterrània"" (La Fúmiga) - Viasona",353
95,Bon dia!,Dàmaris Gelabert,"Bon dia!, de l'àlbum ""Cançons Per Aprendre: 3-7 Anys Vol I"" (Dàmaris Gelabert) - Viasona",352
96,4-3-3,Els Amics de les Arts,"4-3-3, de l'àlbum ""Bed & Breakfast"" (Els Amics de les Arts) - Viasona",351
97,El tren Pinxo de Banyoles,La Trinca,"El tren Pinxo de Banyoles, de l'àlbum ""La Trinca"" (La Trinca) - Viasona",348
98,Marrameu torra castanyes,The Penguins,"Marrameu torra castanyes, de l'àlbum ""Pugem al tren"" (The Penguins) - Viasona",343
99,Perquè he plorat,Dagoll Dagom,"Perquè he plorat, de l'àlbum ""Mar i cel"" (Dagoll Dagom) - Viasona",342
100,Astres,Manu Guix,"Astres, de l'àlbum ""Astres"" (Manu Guix) - Viasona",338
101,La mesereta,Dani Miquel,"La mesereta, de l'àlbum ""Musiqueries"" (Dani Miquel) - Viasona",338
102,Corrandes d'exili,Lluís Llach,"Corrandes d'exili, de l'àlbum ""Poetes"" (Lluís Llach) - Viasona",335
103,Welcome to my party,Joan Dausà,"Welcome to my party, de l'àlbum ""Welcome to my party"" (Joan Dausà) - Viasona",334
104,Follim Follam,Follim Follam,"Follim Follam, de l'àlbum ""Cançons porques 1"" (Follim Follam) - Viasona",332
105,Dalt del cotxe hi ha una nina,Xavi Lloses,"Dalt del cotxe hi ha una nina, de l'àlbum ""Cançonetes per la Bressola"" (Xavi Lloses) - Viasona",331
106,Vull ser el teu amic,Companyia El Petit Príncep,"Vull ser el teu amic, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",328
107,Cant de l'enyor,Lluís Llach,"Cant de l'enyor, de l'àlbum ""Poetes"" (Lluís Llach) - Viasona",323
108,L'Empordà,Sopa de Cabra,"L'Empordà, de l'àlbum ""Sopa de Cabra"" (Sopa de Cabra) - Viasona",320
109,Conte medieval,Esquirols,"Conte medieval, de l'àlbum ""Fent camí"" (Esquirols) - Viasona",320
110,Obriu les portes,Txarango,"Obriu les portes, de l'àlbum ""El cor de la terra"" (Txarango) - Viasona",319
111,20 de març,Joan Manuel Serrat,"20 de març, de l'àlbum ""Serrat 4"" (Joan Manuel Serrat) - Viasona",317
112,Carnaval,Els Amics de les Arts,"Carnaval, de l'àlbum ""Espècies per catalogar"" (Els Amics de les Arts) - Viasona",316
113,El monstre de Banyoles,Toni Giménez,"El monstre de Banyoles, de l'àlbum ""30 anys, 30 èxits"" (Toni Giménez) - Viasona",316
114,PECAT ORIGINAL,Naina,"PECAT ORIGINAL, de l'àlbum ""Vives o mortes"" (Naina) - Viasona",315
115,Lo tio Pep,Riu,"Lo tio Pep, de l'àlbum ""Riu"" (Riu) - Viasona",309
116,Sense tu,Teràpia de Shock,"Sense tu, de l'àlbum ""Escapa't amb mi"" (Teràpia de Shock) - Viasona",309
117,Pujarem dalt dels cims,Esquirols,"Pujarem dalt dels cims, de l'àlbum ""Cants al vent"" (Esquirols) - Viasona",308
118,La petita rambla del Poble Sec,Cesk Freixas,"La petita rambla del Poble Sec, de l'àlbum ""La mà dels qui t'esperen"" (Cesk Freixas) - Viasona",305
119,Exercici seixanta,Els Amics de les Arts,"Exercici seixanta, de l'àlbum ""Castafiore Cabaret"" (Els Amics de les Arts) - Viasona",304
120,En Joan petit quan balla,Ara va de bo,"En Joan petit quan balla, de l'àlbum ""Uni, dori"" (Ara va de bo) - Viasona",304
121,Gràcies,Buhos,"Gràcies, de l'àlbum ""Gràcies"" (Buhos) - Viasona",300
122,Pols a l'era,Obeses,"Pols a l'era, de l'àlbum ""Pols a l'era"" (Obeses) - Viasona",293
123,Vestida de nit,Sílvia Pérez Cruz,"Vestida de nit, de l'àlbum ""Vestida de nit"" (Sílvia Pérez Cruz) - Viasona",292
124,El meu poble,Txarango,"El meu poble, de l'àlbum ""Som riu"" (Txarango) - Viasona",287
125,La flama,Obrint Pas,"La flama, de l'àlbum ""En moviment"" (Obrint Pas) - Viasona",287
126,No volem ser,Companyia Elèctrica Dharma,"No volem ser, de l'àlbum ""No volem ser"" (Companyia Elèctrica Dharma) - Viasona",281
127,Amagada primavera,Txarango,"Amagada primavera, de l'àlbum ""Benvinguts al llarg viatge"" (Txarango) - Viasona",280
128,Teresa Rampell,Manel,"Teresa Rampell, de l'àlbum ""Atletes, baixin de l'escenari"" (Manel) - Viasona",280
129,Et prometo,Porto Bello,"Et prometo, de l'àlbum ""La llei universal"" (Porto Bello) - Viasona",276
130,La Bachateta,Tacho,"La Bachateta, de l'àlbum ""Arrimaeta"" (Tacho) - Viasona",276
131,El meu asteroide,Companyia El Petit Príncep,"El meu asteroide, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",274
132,Les coses senzilles,Ginestà,"Les coses senzilles, de l'àlbum ""Les coses senzilles"" (Ginestà) - Viasona",272
133,La manta al coll,Xitxarel·los,"La manta al coll, de l'àlbum ""C-442"" (Xitxarel·los) - Viasona",271
134,Invencibles,Els Catarres,"Invencibles, de l'àlbum ""Invencibles"" (Els Catarres) - Viasona",270
135,Bicicletes,Blaumut,"Bicicletes, de l'àlbum ""El turista"" (Blaumut) - Viasona",270
136,Sweet Caroline,Buhos,"Sweet Caroline, de l'àlbum ""Sweet Caroline"" (Buhos) - Viasona",269
137,Filomena,Les Absentes,"Filomena, de l'àlbum ""Remena!"" (Les Absentes) - Viasona",267
138,La puntaire,Ramon Calduch,"La puntaire, de l'àlbum ""Catalunya triomfant"" (Ramon Calduch) - Viasona",266
139,Uh! Oh! No tinc por!,Club Súper 3,"Uh! Oh! No tinc por!, de l'àlbum ""Uh! Oh! No tinc por"" (Club Súper 3) - Viasona",262
140,"A Nadal, un pas de pardal",Dani Miquel,"A Nadal, un pas de pardal, de l'àlbum ""A Nadal, un pas de pardal"" (Dani Miquel) - Viasona",261
141,Escolta-ho en el vent,Grup de Folk,"Escolta-ho en el vent, de l'àlbum ""Festival Folk"" (Grup de Folk) - Viasona",261
142,Músic de carrer,Txarango,"Músic de carrer, de l'àlbum ""Som riu"" (Txarango) - Viasona",261
143,A la vora del mar,Marina Rossell,"A la vora del mar, de l'àlbum ""Si volíeu escoltar"" (Marina Rossell) - Viasona",261
144,Sant Antoni,Música Nostra,"Sant Antoni, de l'àlbum ""Deu anys"" (Música Nostra) - Viasona",260
145,Gràcies per tant,La Fúmiga,"Gràcies per tant, de l'àlbum ""Gràcies per tant"" (La Fúmiga) - Viasona",259
146,La vida és bonica,Els Pets,"La vida és bonica, de l'àlbum ""Sol"" (Els Pets) - Viasona",258
147,Les dotze van tocant,Música Nostra,"Les dotze van tocant, de l'àlbum ""Canta nadal"" (Música Nostra) - Viasona",257
148,He fet un ninot de neu,Anna Llopart i Xavi G. Cabré,"He fet un ninot de neu, de l'àlbum ""Un hivern de colors"" (Anna Llopart i Xavi G. Cabré) - Viasona",255
149,El bevedor,Companyia El Petit Príncep,"El bevedor, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",253
150,"La lluna, la pruna",Club Súper 3,"La lluna, la pruna, de l'àlbum ""El cançoner del mic"" (Club Súper 3) - Viasona",251
151,Manifassera,"Sandra Monfort, Ferrxn","Manifassera, de l'àlbum ""Manifassera"" (Sandra Monfort, Ferrxn) - Viasona",250
152,Els avantpassats,"La Trinca, Guillermina Motta","Els avantpassats, de l'àlbum ""Història de Catalunya amb cançons"" (La Trinca, Guillermina Motta) - Viasona",250
153,Cuando se detiene el tiempo,Titelles i Cançons Pamipipa,"Cuando se detiene el tiempo, de l'àlbum ""Nanit"" (Titelles i Cançons Pamipipa) - Viasona",248
154,La cançó del mic,Club Súper 3,"La cançó del mic, de l'àlbum ""Mac, Mec, Mic!"" (Club Súper 3) - Viasona",245
155,Marieta Cistellera,Alosa,"Marieta Cistellera, de l'àlbum ""El primer cant del matí"" (Alosa) - Viasona",245
156,DIMONI ROMÀNTIC,Carles Caselles,"DIMONI ROMÀNTIC, de l'àlbum ""Primer Moviment"" (Carles Caselles) - Viasona",244
157,El rei,Companyia El Petit Príncep,"El rei, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",244
158,La cançó del lladre,Josep Maria Espinàs,"La cançó del lladre, de l'àlbum ""Cançons tradicionals catalanes"" (Josep Maria Espinàs) - Viasona",240
159,Cançó d’amor i de guerra,Salomé,"Cançó d’amor i de guerra, de l'àlbum ""Sardanes cantades"" (Salomé) - Viasona",239
160,València en falles,Bajoqueta Rock,"València en falles, de l'àlbum ""València en falles"" (Bajoqueta Rock) - Viasona",236
161,Els tres tambors,Xesco Boix,"Els tres tambors, de l'àlbum ""La flor romanial"" (Xesco Boix) - Viasona",235
162,El ball de Sant Ferriol,Xavi Lloses,"El ball de Sant Ferriol, de l'àlbum ""Cançonetes per la Bressola"" (Xavi Lloses) - Viasona",234
163,El cant dels ocells,Núria Feliu,"El cant dels ocells, de l'àlbum ""El cant dels ocells"" (Núria Feliu) - Viasona",233
164,Un matí de dissabte,"Pau Riba, Orchestra Fireluche","Un matí de dissabte, de l'àlbum ""Ataràxia"" (Pau Riba, Orchestra Fireluche) - Viasona",232
165,Un esquimal perdut en el desert,The Penguins,"Un esquimal perdut en el desert, de l'àlbum ""Ballant damunt la lluna"" (The Penguins) - Viasona",232
166,Fa vint anys que tinc vint anys,Joan Manuel Serrat,"Fa vint anys que tinc vint anys, de l'àlbum ""Fa 20 anys que tinc 20 anys"" (Joan Manuel Serrat) - Viasona",230
167,Noia de porcellana,Pau Riba,"Noia de porcellana, de l'àlbum ""Dioptria I"" (Pau Riba) - Viasona",229
168,"Gallo rojo, gallo negro",Sílvia Pérez Cruz,"Gallo rojo, gallo negro, de l'àlbum ""Vestida de nit"" (Sílvia Pérez Cruz) - Viasona",228
169,Cançó de bres per a una princesa negra,Cucorba,"Cançó de bres per a una princesa negra, de l'àlbum ""Tornem-hi, torna-hi"" (Cucorba) - Viasona",228
170,Baixant de la Font del Gat,Jordi Barre,"Baixant de la Font del Gat, de l'àlbum ""Tradicionals"" (Jordi Barre) - Viasona",226
