#,song_title,artist,page_title,views,genre
116,Sense tu,Teràpia de Shock,"Sense tu, de l'àlbum ""Escapa't amb mi"" (Teràpia de Shock) - Viasona",309,pop-rock
117,Pujarem dalt dels cims,Esquirols,"Pujarem dalt dels cims, de l'àlbum ""Cants al vent"" (Esquirols) - Viasona",308,cançó autor
118,La petita rambla del Poble Sec,Cesk Freixas,"La petita rambla del Poble Sec, de l'àlbum ""La mà dels qui t'esperen"" (Cesk Freixas) - Viasona",305,cançó autor
119,Exercici seixanta,Els Amics de les Arts,"Exercici seixanta, de l'àlbum ""Castafiore Cabaret"" (Els Amics de les Arts) - Viasona",304,pop-rock
120,En Joan petit quan balla,Ara va de bo,"En Joan petit quan balla, de l'àlbum ""Uni, dori"" (Ara va de bo) - Viasona",304,folk
121,Gràcies,Buhos,"Gràcies, de l'àlbum ""Gràcies"" (Buhos) - Viasona",300,pop-rock
122,Pols a l'era,Obeses,"Pols a l'era, de l'àlbum ""Pols a l'era"" (Obeses) - Viasona",293,pop-rock
123,Vestida de nit,Sílvia Pérez Cruz,"Vestida de nit, de l'àlbum ""Vestida de nit"" (Sílvia Pérez Cruz) - Viasona",292,havanera
124,El meu poble,Txarango,"El meu poble, de l'àlbum ""Som riu"" (Txarango) - Viasona",287,pop-rock
125,La flama,Obrint Pas,"La flama, de l'àlbum ""En moviment"" (Obrint Pas) - Viasona",287,pop-rock
126,No volem ser,Companyia Elèctrica Dharma,"No volem ser, de l'àlbum ""No volem ser"" (Companyia Elèctrica Dharma) - Viasona",281,pop-rock
127,Amagada primavera,Txarango,"Amagada primavera, de l'àlbum ""Benvinguts al llarg viatge"" (Txarango) - Viasona",280,pop-rock
128,Teresa Rampell,Manel,"Teresa Rampell, de l'àlbum ""Atletes, baixin de l'escenari"" (Manel) - Viasona",280,pop-rock
129,Et prometo,Porto Bello,"Et prometo, de l'àlbum ""La llei universal"" (Porto Bello) - Viasona",276,pop-rock
130,La Bachateta,Tacho,"La Bachateta, de l'àlbum ""Arrimaeta"" (Tacho) - Viasona",276,música urbana
131,El meu asteroide,Companyia El Petit Príncep,"El meu asteroide, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",274,cançó autor
132,Les coses senzilles,Ginestà,"Les coses senzilles, de l'àlbum ""Les coses senzilles"" (Ginestà) - Viasona",272,pop-rock
133,La manta al coll,Xitxarel·los,"La manta al coll, de l'àlbum ""C-442"" (Xitxarel·los) - Viasona",271,rumba
134,Invencibles,Els Catarres,"Invencibles, de l'àlbum ""Invencibles"" (Els Catarres) - Viasona",270,pop-rock
135,Bicicletes,Blaumut,"Bicicletes, de l'àlbum ""El turista"" (Blaumut) - Viasona",270,pop-rock
136,Sweet Caroline,Buhos,"Sweet Caroline, de l'àlbum ""Sweet Caroline"" (Buhos) - Viasona",269,pop-rock
137,Filomena,Les Absentes,"Filomena, de l'àlbum ""Remena!"" (Les Absentes) - Viasona",267,pop-rock
138,La puntaire,Ramon Calduch,"La puntaire, de l'àlbum ""Catalunya triomfant"" (Ramon Calduch) - Viasona",266,folk
139,Uh! Oh! No tinc por!,Club Súper 3,"Uh! Oh! No tinc por!, de l'àlbum ""Uh! Oh! No tinc por"" (Club Súper 3) - Viasona",262,folk
140,"A Nadal, un pas de pardal",Dani Miquel,"A Nadal, un pas de pardal, de l'àlbum ""A Nadal, un pas de pardal"" (Dani Miquel) - Viasona",261,folk
141,Escolta-ho en el vent,Grup de Folk,"Escolta-ho en el vent, de l'àlbum ""Festival Folk"" (Grup de Folk) - Viasona",261,folk
142,Músic de carrer,Txarango,"Músic de carrer, de l'àlbum ""Som riu"" (Txarango) - Viasona",261,pop-rock
143,A la vora del mar,Marina Rossell,"A la vora del mar, de l'àlbum ""Si volíeu escoltar"" (Marina Rossell) - Viasona",261,cançó autor
144,Sant Antoni,Música Nostra,"Sant Antoni, de l'àlbum ""Deu anys"" (Música Nostra) - Viasona",260,folk
145,Gràcies per tant,La Fúmiga,"Gràcies per tant, de l'àlbum ""Gràcies per tant"" (La Fúmiga) - Viasona",259,pop-rock
146,La vida és bonica,Els Pets,"La vida és bonica, de l'àlbum ""Sol"" (Els Pets) - Viasona",258,pop-rock
147,Les dotze van tocant,Música Nostra,"Les dotze van tocant, de l'àlbum ""Canta nadal"" (Música Nostra) - Viasona",257,folk
