#,song_title,artist,page_title,views
3116,El camí,Joan Colomo,"El camí, de l'àlbum ""Contra todo pronóstico"" (Joan Colomo) - Viasona",21
3117,Cada instant,Terra Ferma,"Cada instant, de l'àlbum ""Un brot de llum"" (Terra Ferma) - Viasona",21
3118,Digue'm que m'estimes,Els Pets,"Digue'm que m'estimes, de l'àlbum ""Bon dia"" (Els Pets) - Viasona",21
3119,Fandango,Traginada,"Fandango, de l'àlbum ""Cançons de Menorca"" (Traginada) - Viasona",21
3120,Arrels,Tomeu Penya,"Arrels, de l'àlbum ""Els cors ferits"" (Tomeu Penya) - Viasona",21
3121,Dos anònims,Maria del Mar Bonet,"Dos anònims, de l'àlbum ""Terra secreta"" (Maria del Mar Bonet) - Viasona",21
3122,Gràcies a la vida,Miguel Poveda,"Gràcies a la vida, de l'àlbum ""El disc de La Marató 2012"" (Miguel Poveda) - Viasona",21
3123,L’Empordà,Salomé,"L’Empordà, de l'àlbum ""Sardanes cantades"" (Salomé) - Viasona",21
3124,Mercat del Ram,Celdoni Fonoll,"Mercat del Ram, de l'àlbum ""Antologia 1974-1998"" (Celdoni Fonoll) - Viasona",21
3125,A Rússia,Antònia Font,"A Rússia, de l'àlbum ""A Rússia"" (Antònia Font) - Viasona",21
3126,Xarop vitaminant,Club Súper 3,"Xarop vitaminant, de l'àlbum ""Anem a veure món"" (Club Súper 3) - Viasona",21
3127,Lluny de ma pàtria,"Jaume Arnella, Ferran Martínez","Lluny de ma pàtria, de l'àlbum ""Mossèn Cinto Verdaguer. Cançons i balades"" (Jaume Arnella, Ferran Martínez) - Viasona",21
3128,La vuelta al mundo,Txarango,"La vuelta al mundo, de l'àlbum ""Som riu"" (Txarango) - Viasona",21
3129,Somriurem,Txarango,"Somriurem, de l'àlbum ""El gran ball"" (Txarango) - Viasona",21
3130,Pa amb oli,Tiu,"Pa amb oli, de l'àlbum ""Musicogastronomia"" (Tiu) - Viasona",21
3131,Jo sé,Lluís Llach,"Jo sé, de l'àlbum ""Ara i aquí"" (Lluís Llach) - Viasona",21
3132,Maria Mercè,Pomada,"Maria Mercè, de l'àlbum ""El disc 1 de Pomada"" (Pomada) - Viasona",21
3133,A l'estació,Lluís Llach,"A l'estació, de l'àlbum ""Maremar"" (Lluís Llach) - Viasona",21
3134,Pedres als avions,Oques Grasses,"Pedres als avions, de l'àlbum ""You Poni"" (Oques Grasses) - Viasona",21
3135,"Rius, abelles i pàjarus",Extraño Weys,"Rius, abelles i pàjarus, de l'àlbum ""Les abelles palmen però els pàjarus encara canten"" (Extraño Weys) - Viasona",21
3136,La mala herba,Nou Romancer,"La mala herba, de l'àlbum ""Blau com el sol"" (Nou Romancer) - Viasona",21
3137,Castells de sorra,Crim,"Castells de sorra, de l'àlbum ""Crim"" (Crim) - Viasona",21
3138,Es missatge és clar,Anegats,"Es missatge és clar, de l'àlbum ""Illenc"" (Anegats) - Viasona",21
3139,Sa nostra ciutat d'Eivissa,Ressonadors,"Sa nostra ciutat d'Eivissa, de l'àlbum ""Ressonadors"" (Ressonadors) - Viasona",21
3140,Nadala de Lloc Nou d'en Fenollet,Pep Gimeno 'Botifarra',"Nadala de Lloc Nou d'en Fenollet, de l'àlbum ""Si em pose a cantar cançons"" (Pep Gimeno 'Botifarra') - Viasona",21
3141,Una gran pluja molt aviat caurà,Els miralls de Dylan,"Una gran pluja molt aviat caurà, de l'àlbum ""Els miralls de Dylan"" (Els miralls de Dylan) - Viasona",21
3142,Les barres de sang,Joan Josep Mayans,"Les barres de sang, de l'àlbum ""Verdaguer"" (Joan Josep Mayans) - Viasona",21
3143,La lluna de valència,Orxata,"La lluna de valència, de l'àlbum ""1.0"" (Orxata) - Viasona",21
3144,Si no fos tan fàcil,El Petit de Cal Eril,"Si no fos tan fàcil, de l'àlbum ""Eril Eril Eril"" (El Petit de Cal Eril) - Viasona",21
3145,El meu secret,Port Bo,"El meu secret, de l'àlbum ""Al Palau"" (Port Bo) - Viasona",21
3146,Pus Mai Més,"Reïna, Plan-ET","Pus Mai Més, de l'àlbum ""Pus Mai Més"" (Reïna, Plan-ET) - Viasona",21
3147,Esperança,Txarango,"Esperança, de l'àlbum ""El gran ball"" (Txarango) - Viasona",21
3148,Un núvol blanc,Lluís Llach,"Un núvol blanc, de l'àlbum ""Aquelles cançons de La Cançó"" (Lluís Llach) - Viasona",21
3149,El dilluns jo no treballe,Al Tall,"El dilluns jo no treballe, de l'àlbum ""Som de la pelitrúmpeli"" (Al Tall) - Viasona",21
3150,Aiguòlics anònims,Brams,"Aiguòlics anònims, de l'àlbum ""Anem tancant les portes a la por"" (Brams) - Viasona",21
